Joint1,Joint2,Joint3,Joint4,X,Y,Z,R
-7.3,0,0,-26.3737,205.0246,-26.2643,135,-33.6737
-7.2,0,0,-26.3737,205.0701,-25.9064,135,-33.5737
-7.1,0,0,-26.3737,205.115,-25.5484,135,-33.4737
-7,0,0,-26.3737,205.1593,-25.1904,135,-33.3737
-6.9,0,0,-26.3737,205.2029,-24.8323,135,-33.2737
-6.8,0,0,-26.3737,205.246,-24.4741,135,-33.1737
-6.7,0,0,-26.3737,205.2884,-24.1158,135,-33.0737
-6.6,0,0,-26.3737,205.3302,-23.7575,135,-32.9737
-6.5,0,0,-26.3737,205.3713,-23.3991,135,-32.8737
-6.4,0,0,-26.3737,205.4118,-23.0406,135,-32.7737
-6.3,0,0,-26.3737,205.4517,-22.6821,135,-32.6737
-6.2,0,0,-26.3737,205.491,-22.3235,135,-32.5737
-6.1,0,0,-26.3737,205.5297,-21.9648,135,-32.4737
-6,0,0,-26.3737,205.5677,-21.606,135,-32.3737
-5.9,0,0,-26.3737,205.6051,-21.2472,135,-32.2737
-5.8,0,0,-26.3737,205.6418,-20.8883,135,-32.1737
-5.7,0,0,-26.3737,205.678,-20.5294,135,-32.0737
-5.6,0,0,-26.3737,205.7135,-20.1704,135,-31.9737
-5.5,0,0,-26.3737,205.7484,-19.8113,135,-31.8737
-5.4,0,0,-26.3737,205.7827,-19.4522,135,-31.7737
